"CASGEM_STATION_ID","Year","Month","GS_ELEVATION","RP_ELEVATION","WS_READING","RP_READING","WSEL_calc","LATITUDE","LONGITUDE"
2029,2011,11,56.5,58,2,98,-41.5,38.0909,-121.2153
2029,2012,3,56.5,58,3,96,-39.5,38.0909,-121.2153
2043,2013,11,53.5,54,0,96.8,-43.3,38.0667,-121.2109
2043,2013,3,53.5,54,-0.5,100,-46.5,38.0667,-121.2109
2043,2012,3,61.2,62.2,0,111,-49.8,38.0667,-121.2109
2043,2012,11,53.5,54,0,98.3,-44.8,38.0667,-121.2109
2045,2011,11,64,64.5,1,114,-50,38.0626,-121.1798
2045,2012,3,73,74.7,4,124,-51,38.0626,-121.1798
2045,2013,10,64,64.5,-0.5,123,-59,38.0626,-121.1798
2045,2012,11,64,64.5,13,130,-66,38.0626,-121.1798
2045,2013,3,64,64.5,0,113,-49,38.0626,-121.1798
2049,2012,4,5.01,6.01,0,11.3,-6.29,37.9643,-121.3348
2049,2012,10,5.01,6.01,0,13.1,-8.09,37.9643,-121.3348
2049,2013,4,5.01,6.01,0,12,-6.99,37.9643,-121.3348
2049,2016,3,5.01,6.01,0,13,-7.99,37.9643,-121.3348
2049,2014,10,5.01,6.01,0,15.1,-10.09,37.9643,-121.3348
2049,2015,10,5.01,6.01,0,15.6,-10.59,37.9643,-121.3348
2049,2011,4,5.01,6.01,0,11.6,-6.59,37.9643,-121.3348
2049,2016,10,5.01,6.01,0,15,-9.99,37.9643,-121.3348
2049,2015,3,5.01,6.01,0,12.9,-7.89,37.9643,-121.3348
2049,2013,10,5.01,6.01,0,13,-7.99,37.9643,-121.3348
2049,2014,3,5.01,6.01,0,11.8,-6.79,37.9643,-121.3348
2049,2011,12,5.01,6.01,0,12.2,-7.19,37.9643,-121.3348
2064,2012,4,13.9,14.7,0,22.3,-8.4,37.9152,-121.2801
2084,2012,11,105.4,106.9,0,156.6,-51.2,38.0403,-121.0816
2084,2011,11,105.4,106.9,0,153.9,-48.5,38.0403,-121.0816
2084,2012,3,105.4,106.9,0,149.5,-44.1,38.0403,-121.0816
2084,2013,3,105.4,106.9,1,152,-46.6,38.0403,-121.0816
2084,2013,10,105.4,106.9,0,161,-55.6,38.0403,-121.0816
2086,2011,10,109.3,109.8,0,142.5,-33.2,38.0432,-121.0506
2089,2012,10,105.6,106.4,14,160,-54.4,38.0213,-121.048
2089,2011,10,105.6,106.4,4,145,-39.4,38.0213,-121.048
2089,2013,3,105.6,106.4,3,145,-39.4,38.0213,-121.048
2123,2016,10,60.31,60.51,2,100,-39.69,38.1943,-121.262
2123,2012,10,60.31,60.51,-0.3,92,-31.69,38.1943,-121.262
2123,2013,10,60.31,60.51,0.7,100,-39.69,38.1943,-121.262
2123,2016,3,60.31,60.51,0.8,92,-31.69,38.1943,-121.262
2123,2014,3,60.31,60.51,3.1,95,-34.69,38.1943,-121.262
2123,2014,10,60.31,60.51,3.1,95,-34.69,38.1943,-121.262
2123,2011,4,60.31,60.51,0,82.3,-21.99,38.1943,-121.262
2123,2015,10,60.31,60.51,0,99,-38.69,38.1943,-121.262
2123,2015,3,60.31,60.51,11,110,-49.69,38.1943,-121.262
2123,2011,11,60.31,60.51,0,93.7,-33.39,38.1943,-121.262
2123,2013,3,60.31,60.51,-0.6,85,-24.69,38.1943,-121.262
2123,2012,4,60.31,60.51,0.9,87,-26.69,38.1943,-121.262
2124,2012,11,62.4,63.4,14,100,-37.6,38.1802,-121.2527
2124,2013,10,62.4,63.4,0.5,90,-27.6,38.1802,-121.2527
2124,2011,11,62.4,63.4,0.5,83,-20.6,38.1802,-121.2527
2124,2013,2,62.4,63.4,2.5,85,-22.6,38.1802,-121.2527
2125,2014,10,77.46,78.46,0,112.3,-34.84,38.1843,-121.2261
2125,2015,10,77.46,78.46,0,114,-36.54,38.1843,-121.2261
2125,2012,10,77.46,78.46,1.3,110,-32.54,38.1843,-121.2261
2125,2016,10,77.46,78.46,0,115.2,-37.74,38.1843,-121.2261
2125,2012,4,77.46,78.46,8.2,105,-27.54,38.1843,-121.2261
2125,2013,3,77.46,78.46,4.2,107,-29.54,38.1843,-121.2261
2125,2011,4,77.46,78.46,0,98,-20.54,38.1843,-121.2261
2125,2013,10,77.46,78.46,0,110.9,-33.44,38.1843,-121.2261
2125,2011,11,77.46,78.46,0,100.9,-23.44,38.1843,-121.2261
2125,2016,3,77.46,78.46,0,106.5,-29.04,38.1843,-121.2261
2125,2014,3,77.46,78.46,0,103.6,-26.14,38.1843,-121.2261
2126,2012,4,78.2,79.2,0,100.5,-22.3,38.1842,-121.2165
2126,2011,11,78.2,79.2,0,104.4,-26.2,38.1842,-121.2165
2126,2012,11,78.2,79.2,11.5,120,-41.8,38.1842,-121.2165
2126,2013,10,78.2,79.2,0,111.8,-33.6,38.1842,-121.2165
2127,2012,11,83,84.5,12.5,120,-37,38.1749,-121.1977
2127,2011,11,83,84.5,0,106,-23,38.1749,-121.1977
2127,2012,4,83,84.5,11.5,115,-32,38.1749,-121.1977
2127,2013,3,83,84.5,5,108,-25,38.1749,-121.1977
2127,2013,10,83,84.5,1,115,-32,38.1749,-121.1977
2128,2012,11,74.8,75.3,14,110,-35.2,38.1672,-121.2098
2128,2013,3,74.8,75.3,4,105,-30.2,38.1672,-121.2098
2128,2012,3,74.8,75.3,4.5,95,-20.2,38.1672,-121.2098
2128,2011,11,74.8,75.3,0,91,-16.2,38.1672,-121.2098
2128,2013,10,74.8,75.3,1,101,-26.2,38.1672,-121.2098
2129,2011,11,73.4,74,0,45.7,27.7,38.1536,-121.21
2129,2012,3,73.4,74,0,47.5,25.9,38.1536,-121.21
2129,2013,10,73.4,74,0,50.6,22.8,38.1536,-121.21
2129,2012,11,73.4,74,21,70,3.40000000000001,38.1536,-121.21
2129,2013,3,73.4,74,0.5,50,23.4,38.1536,-121.21
2130,2014,10,90,90.5,7,130,-40,38.1531,-121.1635
2130,2016,10,92.35,92.85,0,126.6,-34.25,38.1531,-121.1635
2130,2013,3,90,90.5,0,111,-21,38.1531,-121.1635
2130,2015,3,90,90.5,0,118.1,-28.1,38.1531,-121.1635
2130,2012,11,90,90.5,18,135,-45,38.1531,-121.1635
2130,2016,3,90,90.5,0,119,-29,38.1531,-121.1635
2130,2013,10,90,90.5,0,120.3,-30.3,38.1531,-121.1635
2130,2012,3,90,90.5,0,111.2,-21.2,38.1531,-121.1635
2130,2014,3,90,90.5,0,116.2,-26.2,38.1531,-121.1635
2181,2013,10,73,74.7,-0.9,134,-61,38.0629,-121.1512
2181,2012,11,73,74.7,13,140,-67,38.0629,-121.1512
2181,2013,3,73,74.7,0,121,-48,38.0629,-121.1512
2181,2011,11,73,74.7,0,122,-49,38.0629,-121.1512
2223,2012,10,84.9,83.8,0,138.3,-53.4,38.0206,-121.0943
2223,2011,10,84.9,83.8,0,134.8,-49.9,38.0206,-121.0943
2223,2013,10,84.9,83.8,0,143.5,-58.6,38.0206,-121.0943
2223,2012,3,84.9,83.8,0,128.1,-43.2,38.0206,-121.0943
2223,2013,3,84.9,83.8,5,135,-50.1,38.0206,-121.0943
2224,2012,3,80.5,80.9,5.5,135,-54.5,38.028,-121.1097
2224,2013,11,80.5,80.9,0,143,-62.5,38.028,-121.1097
2224,2012,11,80.5,80.9,0,137.8,-57.3,38.028,-121.1097
2224,2011,11,80.5,80.9,0,134.6,-54.1,38.028,-121.1097
2224,2013,3,80.5,80.9,-0.2,129,-48.5,38.028,-121.1097
2226,2014,10,73,73.7,1,145,-72,38.0116,-121.1233
2226,2012,10,73,73.7,15.5,150,-77,38.0116,-121.1233
2226,2012,3,73,73.7,0,124.1,-51.1,38.0116,-121.1233
2226,2011,10,73,73.7,0,130.8,-57.8,38.0116,-121.1233
2226,2013,3,73,73.7,0.5,127,-54,38.0116,-121.1233
2226,2013,10,73,73.7,-0.4,140,-67,38.0116,-121.1233
2226,2014,3,73,73.7,1.5,132,-59,38.0116,-121.1233
2228,2012,10,135,135.9,0.5,200,-65,38.0095,-121.0423
2228,2012,4,135,135.9,11,200,-65,38.0095,-121.0423
2228,2011,10,135,135.9,0.5,186,-51,38.0095,-121.0423
2229,2011,10,126,126.6,0,165.1,-39.1,38.0036,-121.0498
2229,2012,10,126,126.6,0,167.4,-41.4,38.0036,-121.0498
2229,2013,10,126,126.6,0,170.8,-44.8,38.0036,-121.0498
2229,2013,3,126,126.6,0,163,-37,38.0036,-121.0498
2229,2012,3,126,126.6,0,160.8,-34.8,38.0036,-121.0498
2236,2013,10,158.1,154.1,0,106.3,51.8,38.0548,-120.9841
2236,2012,10,158.1,154.1,0,104,54.1,38.0548,-120.9841
2237,2011,10,132.2,132.7,0,137.4,-5.20000000000002,38.0535,-121.0023
2237,2012,10,132.2,132.7,0,138.7,-6.5,38.0535,-121.0023
2237,2016,3,134.52,135.02,19,165,-30.48,38.0535,-121.0023
2237,2013,10,132.2,132.7,0,139.9,-7.70000000000002,38.0535,-121.0023
2237,2012,3,132.2,132.7,0,137.5,-5.30000000000001,38.0535,-121.0023
2237,2013,3,132.2,132.7,0,142,-9.80000000000001,38.0535,-121.0023
2239,2013,10,132.8,133.2,0,144,-11.2,38.0446,-120.9957
2239,2011,11,132.8,133.2,0,145,-12.2,38.0446,-120.9957
2239,2012,10,132.8,133.2,12,160,-27.2,38.0446,-120.9957
2239,2013,3,132.8,133.2,0,139,-6.19999999999999,38.0446,-120.9957
2250,2016,3,179.5,179.9,0,197,-17.5,37.9896,-120.9966
2250,2011,10,179.5,179.9,0,189.8,-10.3,37.9896,-120.9966
2250,2013,10,179.5,179.9,0,192.2,-12.7,37.9896,-120.9966
2250,2013,3,179.5,179.9,11,200,-20.5,37.9896,-120.9966
